time,Xrefc,Yrefc,Xrobotc,Yrobotc,ISExc,ISEyc
27.6,-0.072751529,-0.023176624,-0.071843822,-0.02178525,4.83E-05,4.09E-05
27.7,-0.074987708,-0.024925667,-0.073482887,-0.023782394,4.86E-05,4.10E-05
27.8,-0.077144467,-0.02671794,-0.074999304,-0.025599541,4.88E-05,4.12E-05
27.9,-0.079219751,-0.028550593,-0.07812565,-0.027354462,4.90E-05,4.14E-05
28,-0.081211613,-0.030420704,-0.079594371,-0.028706507,4.92E-05,4.16E-05
28.1,-0.083118221,-0.032325289,-0.081692318,-0.030811778,4.93E-05,4.18E-05
28.2,-0.084937856,-0.034261302,-0.08400855,-0.032972291,4.95E-05,4.20E-05
28.3,-0.086668919,-0.03622564,-0.086161099,-0.034936441,4.96E-05,4.22E-05
28.4,-0.08830993,-0.038215151,-0.087883632,-0.036905033,4.98E-05,4.24E-05
28.5,-0.08985953,-0.040226633,-0.089370299,-0.038666333,4.99E-05,4.26E-05
28.6,-0.091316484,-0.042256842,-0.090440517,-0.040538079,5.00E-05,4.28E-05
28.7,-0.092679682,-0.044302497,-0.091364662,-0.042535934,5.01E-05,4.31E-05
28.8,-0.09394814,-0.046360282,-0.093514946,-0.044529797,5.02E-05,4.33E-05
28.9,-0.095121003,-0.048426853,-0.094579242,-0.047355883,5.03E-05,4.35E-05
29,-0.096197542,-0.050498843,-0.095378884,-0.049401293,5.03E-05,4.38E-05
29.1,-0.09717716,-0.052572865,-0.096183623,-0.051459226,5.04E-05,4.40E-05
29.2,-0.098059389,-0.054645517,-0.096610611,-0.053166414,5.05E-05,4.42E-05
29.3,-0.098843893,-0.056713389,-0.098582255,-0.054875197,5.05E-05,4.45E-05
29.4,-0.099530467,-0.058773066,-0.099059083,-0.057593313,5.06E-05,4.47E-05
29.5,-0.100119036,-0.060821133,-0.100095589,-0.058904444,5.06E-05,4.49E-05
29.6,-0.100609656,-0.06285418,-0.099841978,-0.06156557,5.06E-05,4.52E-05
29.7,-0.101002517,-0.064868808,-0.100427282,-0.063054408,5.06E-05,4.54E-05
